line,stanza,line_number
The lesser thing should not the greater hide;,96,663
"The cedar stoops not to the base shrub's foot,",96,664
But low shrubs wither at the cedar's root.,96,665
"'So let thy thoughts, low vassals to thy state'--",97,666
"No more,' quoth he; 'by heaven, I will not hear thee:",97,667
"Yield to my love; if not, enforced hate,",97,668
"Instead of love's coy touch, shall rudely tear thee;",97,669
"That done, despitefully I mean to bear thee",97,670
"Unto the base bed of some rascal groom,",97,671
To be thy partner in this shameful doom.',97,672
"This said, he sets his foot upon the light,",98,673
For light and lust are deadly enemies:,98,674
"Shame folded up in blind concealing night,",98,675
"When most unseen, then most doth tyrannize.",98,676
"The wolf hath seized his prey, the poor lamb cries;",98,677
Till with her own white fleece her voice controll'd,98,678
Entombs her outcry in her lips' sweet fold:,98,679
For with the nightly linen that she wears,99,680
He pens her piteous clamours in her head;,99,681
Cooling his hot face in the chastest tears,99,682
That ever modest eyes with sorrow shed.,99,683
"O, that prone lust should stain so pure a bed!",99,684
"The spots whereof could weeping purify,",99,685
Her tears should drop on them perpetually.,99,686
"But she hath lost a dearer thing than life,",100,687
And he hath won what he would lose again:,100,688
This forced league doth force a further strife;,100,689
This momentary joy breeds months of pain;,100,690
This hot desire converts to cold disdain:,100,691
"Pure Chastity is rifled of her store,",100,692
"And Lust, the thief, far poorer than before.",100,693
"Look, as the full-fed hound or gorged hawk,",101,694
"Unapt for tender smell or speedy flight,",101,695
"Make slow pursuit, or altogether balk",101,696
The prey wherein by nature they delight;,101,697
So surfeit-taking Tarquin fares this night:,101,698
"His taste delicious, in digestion souring,",101,699
"Devours his will, that lived by foul devouring.",101,700
"O, deeper sin than bottomless conceit",102,701
Can comprehend in still imagination!,102,702
"Drunken Desire must vomit his receipt,",102,703
Ere he can see his own abomination.,102,704
"While Lust is in his pride, no exclamation",102,705
"Can curb his heat or rein his rash desire,",102,706
Till like a jade Self-will himself doth tire.,102,707
"And then with lank and lean discolour'd cheek,",103,708
"With heavy eye, knit brow, and strengthless pace,",103,709
"Feeble Desire, all recreant, poor, and meek,",103,710
Like to a bankrupt beggar wails his case:,103,711
"The flesh being proud, Desire doth fight with Grace,",103,712
"For there it revels; and when that decays,",103,713
The guilty rebel for remission prays.,103,714
"So fares it with this faultful lord of Rome,",104,715
Who this accomplishment so hotly chased;,104,716
"For now against himself he sounds this doom,",104,717
That through the length of times he stands disgraced:,104,718
"Besides, his soul's fair temple is defaced;",104,719
"To whose weak ruins muster troops of cares,",104,720
To ask the spotted princess how she fares.,104,721
"She says, her subjects with foul insurrection",105,722
"Have batter'd down her consecrated wall,",105,723
And by their mortal fault brought in subjection,105,724
"Her immortality, and made her thrall",105,725
To living death and pain perpetual:,105,726
"Which in her prescience she controlled still,",105,727
But her foresight could not forestall their will.,105,728
"Even in this thought through the dark night he stealeth,",106,729
A captive victor that hath lost in gain;,106,730
"Bearing away the wound that nothing healeth,",106,731
"The scar that will, despite of cure, remain;",106,732
Leaving his spoil perplex'd in greater pain.,106,733
"She bears the load of lust he left behind,",106,734
And he the burden of a guilty mind.,106,735
He like a thievish dog creeps sadly thence;,107,736
She like a wearied lamb lies panting there;,107,737
He scowls and hates himself for his offence;,107,738
"She, desperate, with her nails her flesh doth tear;",107,739
"He faintly flies, sneaking with guilty fear;",107,740
"She stays, exclaiming on the direful night;",107,741
"He runs, and chides his vanish'd, loathed delight.",107,742
He thence departs a heavy convertite;,108,743
She there remains a hopeless castaway;,108,744
He in his speed looks for the morning light;,108,745
"She prays she never may behold the day,",108,746
"'For day,' quoth she, 'nights scapes doth open lay,",108,747
And my true eyes have never practised how,108,748
To cloak offences with a cunning brow.,108,749
'They think not but that every eye can see,109,750
The same disgrace which they themselves behold;,109,751
"And therefore would they still in darkness be,",109,752
To have their unseen sin remain untold;,109,753
"For they their guilt with weeping will unfold,",109,754
"And grave, like water that doth eat in steel,",109,755
Upon my cheeks what helpless shame I feel.',109,756
"Here she exclaims against repose and rest,",110,757
And bids her eyes hereafter still be blind.,110,758
"She wakes her heart by beating on her breast,",110,759
"And bids it leap from thence, where it may find",110,760
Some purer chest to close so pure a mind.,110,761
Frantic with grief thus breathes she forth her spite,110,762
Against the unseen secrecy of night:,110,763
"'O comfort-killing Night, image of hell!",111,764
Dim register and notary of shame!,111,765
Black stage for tragedies and murders fell!,111,766
Vast sin-concealing chaos! nurse of blame!,111,767
Blind muffled bawd! dark harbour for defame!,111,768
Grim cave of death! whispering conspirator,111,769
With close-tongued treason and the ravisher!,111,770
"'O hateful, vaporous, and foggy Night!",112,771
"Since thou art guilty of my cureless crime,",112,772
"Muster thy mists to meet the eastern light,",112,773
Make war against proportion'd course of time;,112,774
Or if thou wilt permit the sun to climb,112,775
"His wonted height, yet ere he go to bed,",112,776
Knit poisonous clouds about his golden head.,112,777
'With rotten damps ravish the morning air;,113,778
Let their exhaled unwholesome breaths make sick,113,779
"The life of purity, the supreme fair,",113,780
Ere he arrive his weary noon-tide prick;,113,781
"And let thy misty vapours march so thick,",113,782
That in their smoky ranks his smother'd light,113,783
May set at noon and make perpetual night.,113,784
"'Were Tarquin Night, as he is but Night's child,",114,785
The silver-shining queen he would distain;,114,786
"Her twinkling handmaids too, by him defiled,",114,787
Through Night's black bosom should not peep again:,114,788
So should I have co-partners in my pain;,114,789
"And fellowship in woe doth woe assuage,",114,790
As palmers' chat makes short their pilgrimage.,114,791
"'Where now I have no one to blush with me,",115,792
"To cross their arms and hang their heads with mine,",115,793
To mask their brows and hide their infamy;,115,794
"But I alone alone must sit and pine,",115,795
"Seasoning the earth with showers of silver brine,",115,796
"Mingling my talk with tears, my grief with groans,",115,797
Poor wasting monuments of lasting moans.,115,798
"'O Night, thou furnace of foul-reeking smoke,",116,799
Let not the jealous Day behold that face,116,800
Which underneath thy black all-hiding cloak,116,801
Immodestly lies martyr'd with disgrace!,116,802
"Keep still possession of thy gloomy place,",116,803
That all the faults which in thy reign are made,116,804
May likewise be sepulchred in thy shade!,116,805
'Make me not object to the tell-tale Day!,117,806
"The light will show, character'd in my brow,",117,807
"The story of sweet chastity's decay,",117,808
The impious breach of holy wedlock vow:,117,809
"Yea the illiterate, that know not how",117,810
"To cipher what is writ in learned books,",117,811
Will quote my loathsome trespass in my looks.,117,812
"'The nurse, to still her child, will tell my story,",118,813
And fright her crying babe with Tarquin's name;,118,814
"The orator, to deck his oratory,",118,815
Will couple my reproach to Tarquin's shame;,118,816
"Feast-finding minstrels, tuning my defame,",118,817
"Will tie the hearers to attend each line,",118,818
"How Tarquin wronged me, I Collatine.",118,819
"'Let my good name, that senseless reputation,",119,820
For Collatine's dear love be kept unspotted:,119,821
"If that be made a theme for disputation,",119,822
"The branches of another root are rotted,",119,823
And undeserved reproach to him allotted,119,824
That is as clear from this attaint of mine,119,825
"As I, ere this, was pure to Collatine.",119,826
'O unseen shame! invisible disgrace!,120,827
"O unfelt sore! crest-wounding, private scar!",120,828
"Reproach is stamp'd in Collatinus' face,",120,829
"And Tarquin's eye may read the mot afar,",120,830
"How he in peace is wounded, not in war.",120,831
"Alas, how many bear such shameful blows,",120,832
"Which not themselves, but he that gives them knows!",120,833
"'If, Collatine, thine honour lay in me,",121,834
From me by strong assault it is bereft.,121,835
"My honour lost, and I, a drone-like bee,",121,836
"Have no perfection of my summer left,",121,837
But robb'd and ransack'd by injurious theft:,121,838
"In thy weak hive a wandering wasp hath crept,",121,839
And suck'd the honey which thy chaste bee kept.,121,840
'Yet am I guilty of thy honour's wrack;,122,841
Yet for thy honour did I entertain him;,122,842
"Coming from thee, I could not put him back,",122,843
For it had been dishonour to disdain him:,122,844
"Besides, of weariness he did complain him,",122,845
"And talk'd of virtue: O unlook'd-for evil,",122,846
When virtue is profaned in such a devil!,122,847
'Why should the worm intrude the maiden bud?,123,848
Or hateful cuckoos hatch in sparrows' nests?,123,849
Or toads infect fair founts with venom mud?,123,850
Or tyrant folly lurk in gentle breasts?,123,851
Or kings be breakers of their own behests?,123,852
"But no perfection is so absolute,",123,853
That some impurity doth not pollute.,123,854
'The aged man that coffers-up his gold,124,855
Is plagued with cramps and gouts and painful fits;,124,856
"And scarce hath eyes his treasure to behold,",124,857
"But like still-pining Tantalus he sits,",124,858
And useless barns the harvest of his wits;,124,859
Having no other pleasure of his gain,124,860
But torment that it cannot cure his pain.,124,861
"'So then he hath it when he cannot use it,",125,862
And leaves it to be master'd by his young;,125,863
Who in their pride do presently abuse it:,125,864
"Their father was too weak, and they too strong,",125,865
To hold their cursed-blessed fortune long.,125,866
The sweets we wish for turn to loathed sours,125,867
Even in the moment that we call them ours.,125,868
'Unruly blasts wait on the tender spring;,126,869
Unwholesome weeds take root with precious flowers;,126,870
The adder hisses where the sweet birds sing;,126,871
What virtue breeds iniquity devours:,126,872
"We have no good that we can say is ours,",126,873
But ill-annexed Opportunity,126,874
Or kills his life or else his quality.,126,875
"'O Opportunity, thy guilt is great!",127,876
'Tis thou that executest the traitor's treason:,127,877
Thou set'st the wolf where he the lamb may get;,127,878
"Whoever plots the sin, thou 'point'st the season;",127,879
"'Tis thou that spurn'st at right, at law, at reason;",127,880
"And in thy shady cell, where none may spy him,",127,881
"Sits Sin, to seize the souls that wander by him.",127,882
'Thou makest the vestal violate her oath;,128,883
Thou blow'st the fire when temperance is thaw'd;,128,884
"Thou smother'st honesty, thou murder'st troth;",128,885
Thou foul abettor! thou notorious bawd!,128,886
Thou plantest scandal and displacest laud:,128,887
"Thou ravisher, thou traitor, thou false thief,",128,888
"Thy honey turns to gall, thy joy to grief!",128,889
"'Thy secret pleasure turns to open shame,",129,890
"Thy private feasting to a public fast,",129,891
"Thy smoothing titles to a ragged name,",129,892
Thy sugar'd tongue to bitter wormwood taste:,129,893
Thy violent vanities can never last.,129,894
"How comes it then, vile Opportunity,",129,895
"Being so bad, such numbers seek for thee?",129,896
"'When wilt thou be the humble suppliant's friend,",130,897
And bring him where his suit may be obtain'd?,130,898
When wilt thou sort an hour great strifes to end?,130,899
Or free that soul which wretchedness hath chain'd?,130,900
"Give physic to the sick, ease to the pain'd?",130,901
"The poor, lame, blind, halt, creep, cry out for thee;",130,902
But they ne'er meet with Opportunity.,130,903
'The patient dies while the physician sleeps;,131,904
The orphan pines while the oppressor feeds;,131,905
Justice is feasting while the widow weeps;,131,906
Advice is sporting while infection breeds:,131,907
Thou grant'st no time for charitable deeds:,131,908
"Wrath, envy, treason, rape, and murder's rages,",131,909
Thy heinous hours wait on them as their pages.,131,910
"'When Truth and Virtue have to do with thee,",132,911
A thousand crosses keep them from thy aid:,132,912
"They buy thy help; but Sin ne'er gives a fee,",132,913
He gratis comes; and thou art well appaid,132,914
As well to hear as grant what he hath said.,132,915
My Collatine would else have come to me,132,916
"When Tarquin did, but he was stay'd by thee.",132,917
"Guilty thou art of murder and of theft,",133,918
"Guilty of perjury and subornation,",133,919
"Guilty of treason, forgery, and shift,",133,920
"Guilty of incest, that abomination;",133,921
An accessary by thine inclination,133,922
"To all sins past, and all that are to come,",133,923
From the creation to the general doom.,133,924
"'Mis-shapen Time, copesmate of ugly Night,",134,925
"Swift subtle post, carrier of grisly care,",134,926
"Eater of youth, false slave to false delight,",134,927
"Base watch of woes, sin's pack-horse, virtue's snare;",134,928
Thou nursest all and murder'st all that are:,134,929
"O, hear me then, injurious, shifting Time!",134,930
"Be guilty of my death, since of my crime.",134,931
"'Why hath thy servant, Opportunity,",135,932
"Betray'd the hours thou gavest me to repose,",135,933
"Cancell'd my fortunes, and enchained me",135,934
To endless date of never-ending woes?,135,935
Time's office is to fine the hate of foes;,135,936
"To eat up errors by opinion bred,",135,937
Not spend the dowry of a lawful bed.,135,938
"'Time's glory is to calm contending kings,",136,939
"To unmask falsehood and bring truth to light,",136,940
"To stamp the seal of time in aged things,",136,941
"To wake the morn and sentinel the night,",136,942
"To wrong the wronger till he render right,",136,943
"To ruinate proud buildings with thy hours,",136,944
And smear with dust their glittering golden towers;,136,945
"'To fill with worm-holes stately monuments,",137,946
"To feed oblivion with decay of things,",137,947
"To blot old books and alter their contents,",137,948
"To pluck the quills from ancient ravens' wings,",137,949
"To dry the old oak's sap and cherish springs,",137,950
"To spoil antiquities of hammer'd steel,",137,951
And turn the giddy round of Fortune's wheel;,137,952
"'To show the beldam daughters of her daughter,",138,953
"To make the child a man, the man a child,",138,954
"To slay the tiger that doth live by slaughter,",138,955
"To tame the unicorn and lion wild,",138,956
"To mock the subtle in themselves beguiled,",138,957
"To cheer the ploughman with increaseful crops,",138,958
And waste huge stones with little water drops.,138,959
"'Why work'st thou mischief in thy pilgrimage,",139,960
Unless thou couldst return to make amends?,139,961
One poor retiring minute in an age,139,962
"Would purchase thee a thousand thousand friends,",139,963
Lending him wit that to bad debtors lends:,139,964
"O, this dread night, wouldst thou one hour come back,",139,965
I could prevent this storm and shun thy wrack!,139,966
"'Thou ceaseless lackey to eternity,",140,967
With some mischance cross Tarquin in his flight:,140,968
"Devise extremes beyond extremity,",140,969
To make him curse this cursed crimeful night:,140,970
Let ghastly shadows his lewd eyes affright;,140,971
And the dire thought of his committed evil,140,972
Shape every bush a hideous shapeless devil.,140,973
"'Disturb his hours of rest with restless trances,",141,974
Afflict him in his bed with bedrid groans;,141,975
"Let there bechance him pitiful mischances,",141,976
To make him moan; but pity not his moans:,141,977
Stone him with harden'd hearts harder than stones;,141,978
"And let mild women to him lose their mildness,",141,979
Wilder to him than tigers in their wildness.,141,980
"'Let him have time to tear his curled hair,",142,981
"Let him have time against himself to rave,",142,982
"Let him have time of Time's help to despair,",142,983
"Let him have time to live a loathed slave,",142,984
"Let him have time a beggar's orts to crave,",142,985
And time to see one that by alms doth live,142,986
Disdain to him disdained scraps to give.,142,987
"'Let him have time to see his friends his foes,",143,988
And merry fools to mock at him resort;,143,989
Let him have time to mark how slow time goes,143,990
"In time of sorrow, and how swift and short",143,991
His time of folly and his time of sport;,143,992
And ever let his unrecalling crime,143,993
Have time to wail th' abusing of his time.,143,994
"'O Time, thou tutor both to good and bad,",144,995
Teach me to curse him that thou taught'st this ill!,144,996
"At his own shadow let the thief run mad,",144,997
Himself himself seek every hour to kill!,144,998
Such wretched hands such wretched blood should spill;,144,999
For who so base would such an office have,144,1000
As slanderous death's-man to so base a slave?,144,1001
"'The baser is he, coming from a king,",145,1002
To shame his hope with deeds degenerate:,145,1003
"The mightier man, the mightier is the thing",145,1004
"That makes him honour'd, or begets him hate;",145,1005
For greatest scandal waits on greatest state.,145,1006
"The moon being clouded presently is miss'd,",145,1007
But little stars may hide them when they list.,145,1008
"'The crow may bathe his coal-black wings in mire,",146,1009
And unperceived fly with the filth away;,146,1010
"But if the like the snow-white swan desire,",146,1011
The stain upon his silver down will stay.,146,1012
"Poor grooms are sightless night, kings glorious day:",146,1013
"Gnats are unnoted wheresoe'er they fly,",146,1014
But eagles gazed upon with every eye.,146,1015
"'Out, idle words, servants to shallow fools!",147,1016
"Unprofitable sounds, weak arbitrators!",147,1017
Busy yourselves in skill-contending schools;,147,1018
Debate where leisure serves with dull debaters;,147,1019
To trembling clients be you mediators:,147,1020
"For me, I force not argument a straw,",147,1021
Since that my case is past the help of law.,147,1022
"'In vain I rail at Opportunity,",148,1023
"At Time, at Tarquin, and uncheerful Night;",148,1024
"In vain I cavil with mine infamy,",148,1025
In vain I spurn at my confirm'd despite:,148,1026
This helpless smoke of words doth me no right.,148,1027
The remedy indeed to do me good,148,1028
Is to let forth my foul-defiled blood.,148,1029
"'Poor hand, why quiver'st thou at this decree?",149,1030
Honour thyself to rid me of this shame:,149,1031
"For if I die, my honour lives in thee;",149,1032
"But if I live, thou livest in my defame:",149,1033
"Since thou couldst not defend thy loyal dame,",149,1034
"And wast afeard to scratch her wicked foe,",149,1035
Kill both thyself and her for yielding so.',149,1036
"This said, from her be-tumbled couch she starteth,",150,1037
To find some desperate instrument of death:,150,1038
But this no slaughterhouse no tool imparteth,150,1039
To make more vent for passage of her breath;,150,1040
"Which, thronging through her lips, so vanisheth",150,1041
"As smoke from AEtna, that in air consumes,",150,1042
Or that which from discharged cannon fumes.,150,1043
"'In vain,' quoth she, 'I live, and seek in vain",151,1044
Some happy mean to end a hapless life.,151,1045
"I fear'd by Tarquin's falchion to be slain,",151,1046
Yet for the self-same purpose seek a knife:,151,1047
But when I fear'd I was a loyal wife:,151,1048
"So am I now: O no, that cannot be;",151,1049
Of that true type hath Tarquin rifled me.,151,1050
"'O, that is gone for which I sought to live,",152,1051
And therefore now I need not fear to die.,152,1052
"To clear this spot by death, at least I give",152,1053
A badge of fame to slander's livery;,152,1054
A dying life to living infamy:,152,1055
"Poor helpless help, the treasure stol'n away,",152,1056
To burn the guiltless casket where it lay!,152,1057
"'Well, well, dear Collatine, thou shalt not know",153,1058
The stained taste of violated troth;,153,1059
"I will not wrong thy true affection so,",153,1060
To flatter thee with an infringed oath;,153,1061
This bastard graff shall never come to growth:,153,1062
He shall not boast who did thy stock pollute,153,1063
That thou art doting father of his fruit.,153,1064
"'Nor shall he smile at thee in secret thought,",154,1065
Nor laugh with his companions at thy state:,154,1066
But thou shalt know thy interest was not bought,154,1067
"Basely with gold, but stol'n from forth thy gate.",154,1068
"For me, I am the mistress of my fate,",154,1069
"And with my trespass never will dispense,",154,1070
Till life to death acquit my forced offence.,154,1071
"'I will not poison thee with my attaint,",155,1072
Nor fold my fault in cleanly-coin'd excuses;,155,1073
"My sable ground of sin I will not paint,",155,1074
To hide the truth of this false night's abuses:,155,1075
"My tongue shall utter all; mine eyes, like sluices,",155,1076
"As from a mountain-spring that feeds a dale,",155,1077
Shall gush pure streams to purge my impure tale.',155,1078
"By this, lamenting Philomel had ended",156,1079
"The well-tuned warble of her nightly sorrow,",156,1080
And solemn night with slow sad gait descended,156,1081
"To ugly hell; when, lo, the blushing morrow",156,1082
Lends light to all fair eyes that light will borrow:,156,1083
"But cloudy Lucrece shames herself to see,",156,1084
And therefore still in night would cloister'd be.,156,1085
"Revealing day through every cranny spies,",157,1086
And seems to point her out where she sits weeping;,157,1087
"To whom she sobbing speaks: 'O eye of eyes,",157,1088
Why pry'st thou through my window? leave thy peeping:,157,1089
Mock with thy tickling beams eyes that are sleeping:,157,1090
"Brand not my forehead with thy piercing light,",157,1091
For day hath nought to do what's done by night.',157,1092
Thus cavils she with every thing she sees:,158,1093
"True grief is fond and testy as a child,",158,1094
"Who wayward once, his mood with nought agrees:",158,1095
"Old woes, not infant sorrows, bear them mild;",158,1096
"Continuance tames the one; the other wild,",158,1097
"Like an unpractised swimmer plunging still,",158,1098
With too much labour drowns for want of skill.,158,1099
"So she, deep-drenched in a sea of care,",159,1100
"Holds disputation with each thing she views,",159,1101
And to herself all sorrow doth compare;,159,1102
No object but her passion's strength renews;,159,1103
"And as one shifts, another straight ensues:",159,1104
Sometime her grief is dumb and hath no words;,159,1105
Sometime 'tis mad and too much talk affords.,159,1106
The little birds that tune their morning's joy,160,1107
Make her moans mad with their sweet melody:,160,1108
For mirth doth search the bottom of annoy;,160,1109
Sad souls are slain in merry company;,160,1110
Grief best is pleased with grief's society:,160,1111
True sorrow then is feelingly sufficed,160,1112
When with like semblance it is sympathized.,160,1113
'Tis double death to drown in ken of shore;,161,1114
He ten times pines that pines beholding food;,161,1115
To see the salve doth make the wound ache more;,161,1116
Great grief grieves most at that would do it good;,161,1117
"Deep woes roll forward like a gentle flood,",161,1118
"Who being stopp'd, the bounding banks o'erflows;",161,1119
Grief dallied with nor law nor limit knows.,161,1120
"'You mocking-birds,' quoth she, 'your tunes entomb",162,1121
"Within your hollow-swelling feather'd breasts,",162,1122
And in my hearing be you mute and dumb:,162,1123
My restless discord loves no stops nor rests;,162,1124
A woeful hostess brooks not merry guests:,162,1125
Relish your nimble notes to pleasing ears;,162,1126
Distress likes dumps when time is kept with tears.,162,1127
"'Come, Philomel, that sing'st of ravishment,",163,1128
Make thy sad grove in my dishevell'd hair:,163,1129
"As the dank earth weeps at thy languishment,",163,1130
"So I at each sad strain will strain a tear,",163,1131
And with deep groans the diapason bear;,163,1132
"For burden-wise I'll hum on Tarquin still,",163,1133
While thou on Tereus descant'st better skill.,163,1134
"'And whiles against a thorn thou bear'st thy part,",164,1135
"To keep thy sharp woes waking, wretched I,",164,1136
"To imitate thee well, against my heart",164,1137
Will fix a sharp knife to affright mine eye;,164,1138
"Who, if it wink, shall thereon fall and die.",164,1139
"These means, as frets upon an instrument,",164,1140
Shall tune our heart-strings to true languishment.,164,1141
"'And for, poor bird, thou sing'st not in the day,",165,1142
"As shaming any eye should thee behold,",165,1143
"Some dark deep desert, seated from the way,",165,1144
"That knows not parching heat nor freezing cold,",165,1145
Will we find out; and there we will unfold,165,1146
"To creatures stern sad tunes, to change their kinds:",165,1147
"Since men prove beasts, let beasts bear gentle minds.'",165,1148
"As the poor frighted deer, that stands at gaze,",166,1149
"Wildly determining which way to fly,",166,1150
"Or one encompass'd with a winding maze,",166,1151
That cannot tread the way out readily;,166,1152
"So with herself is she in mutiny,",166,1153
"To live or die which of the twain were better,",166,1154
"When life is shamed, and death reproach's debtor.",166,1155
"'To kill myself,' quoth she, 'alack, what were it,",167,1156
But with my body my poor soul's pollution?,167,1157
They that lose half with greater patience bear it,167,1158
Than they whose whole is swallow'd in confusion.,167,1159
That mother tries a merciless conclusion,167,1160
"Who, having two sweet babes, when death takes one,",167,1161
Will slay the other and be nurse to none.,167,1162
"'My body or my soul, which was the dearer,",168,1163
"When the one pure, the other made divine?",168,1164
"Whose love of either to myself was nearer,",168,1165
When both were kept for heaven and Collatine?,168,1166
"Ay me! the bark peel'd from the lofty pine,",168,1167
His leaves will wither and his sap decay;,168,1168
"So must my soul, her bark being peel'd away.",168,1169
"'Her house is sack'd, her quiet interrupted,",169,1170
Her mansion batter'd by the enemy;,169,1171
"Her sacred temple spotted, spoil'd, corrupted,",169,1172
Grossly engirt with daring infamy:,169,1173
"Then let it not be call'd impiety,",169,1174
If in this blemish'd fort I make some hole,169,1175
Through which I may convey this troubled soul.,169,1176
'Yet die I will not till my Collatine,170,1177
Have heard the cause of my untimely death;,170,1178
"That he may vow, in that sad hour of mine,",170,1179
Revenge on him that made me stop my breath.,170,1180
"My stained blood to Tarquin I'll bequeath,",170,1181
"Which by him tainted shall for him be spent,",170,1182
And as his due writ in my testament.,170,1183
'My honour I'll bequeath unto the knife,171,1184
That wounds my body so dishonoured.,171,1185
'Tis honour to deprive dishonour'd life;,171,1186
"The one will live, the other being dead:",171,1187
So of shame's ashes shall my fame be bred;,171,1188
For in my death I murder shameful scorn:,171,1189
"My shame so dead, mine honour is new-born.",171,1190
"'Dear lord of that dear jewel I have lost,",172,1191
What legacy shall I bequeath to thee?,172,1192
"My resolution, love, shall be thy boast,",172,1193
By whose example thou revenged mayest be.,172,1194
"How Tarquin must be used, read it in me:",172,1195
"Myself, thy friend, will kill myself, thy foe,",172,1196
And for my sake serve thou false Tarquin so.,172,1197
'This brief abridgement of my will I make:,173,1198
My soul and body to the skies and ground;,173,1199
"My resolution, husband, do thou take;",173,1200
Mine honour be the knife's that makes my wound;,173,1201
My shame be his that did my fame confound;,173,1202
And all my fame that lives disbursed be,173,1203
"To those that live, and think no shame of me.",173,1204
"'Thou, Collatine, shalt oversee this will;",174,1205
How was I overseen that thou shalt see it!,174,1206
My blood shall wash the slander of mine ill;,174,1207
"My life's foul deed, my life's fair end shall free it.",174,1208
"Faint not, faint heart, but stoutly say 'So be it:'",174,1209
Yield to my hand; my hand shall conquer thee:,174,1210
"Thou dead, both die, and both shall victors be.'",174,1211
"This Plot of death when sadly she had laid,",175,1212
"And wiped the brinish pearl from her bright eyes,",175,1213
"With untuned tongue she hoarsely calls her maid,",175,1214
Whose swift obedience to her mistress hies;,175,1215
For fleet-wing'd duty with thought's feathers flies.,175,1216
Poor Lucrece' cheeks unto her maid seem so,175,1217
As winter meads when sun doth melt their snow.,175,1218
"Her mistress she doth give demure good-morrow,",176,1219
"With soft-slow tongue, true mark of modesty,",176,1220
"And sorts a sad look to her lady's sorrow,",176,1221
For why her face wore sorrow's livery;,176,1222
But durst not ask of her audaciously,176,1223
"Why her two suns were cloud-eclipsed so,",176,1224
Nor why her fair cheeks over-wash'd with woe.,176,1225
"But as the earth doth weep, the sun being set,",177,1226
Each flower moisten'd like a melting eye;,177,1227
Even so the maid with swelling drops gan wet,177,1228
"Her circled eyne, enforced by sympathy",177,1229
"Of those fair suns set in her mistress' sky,",177,1230
"Who in a salt-waved ocean quench their light,",177,1231
Which makes the maid weep like the dewy night.,177,1232
"A pretty while these pretty creatures stand,",178,1233
Like ivory conduits coral cisterns filling:,178,1234
One justly weeps; the other takes in hand,178,1235
"No cause, but company, of her drops spilling:",178,1236
Their gentle sex to weep are often willing;,178,1237
"Grieving themselves to guess at others' smarts,",178,1238
And then they drown their eyes or break their hearts.,178,1239
"For men have marble, women waxen, minds,",179,1240
And therefore are they form'd as marble will;,179,1241
"The weak oppress'd, the impression of strange kinds",179,1242
"Is form'd in them by force, by fraud, or skill:",179,1243
"Then call them not the authors of their ill,",179,1244
No more than wax shall be accounted evil,179,1245
Wherein is stamp'd the semblance of a devil.,179,1246
"Their smoothness, like a goodly champaign plain,",180,1247
Lays open all the little worms that creep;,180,1248
"In men, as in a rough-grown grove, remain",180,1249
Cave-keeping evils that obscurely sleep:,180,1250
Through crystal walls each little mote will peep:,180,1251
"Though men can cover crimes with bold stern looks,",180,1252
Poor women's faces are their own fault's books.,180,1253
"No man inveigh against the wither'd flower,",181,1254
But chide rough winter that the flower hath kill'd:,181,1255
"Not that devour'd, but that which doth devour,",181,1256
"Is worthy blame. O, let it not be hild",181,1257
"Poor women's faults, that they are so fulfill'd",181,1258
"With men's abuses: those proud lords, to blame,",181,1259
Make weak-made women tenants to their shame.,181,1260
"The precedent whereof in Lucrece view,",182,1261
Assail'd by night with circumstances strong,182,1262
"Of present death, and shame that might ensue",182,1263
"By that her death, to do her husband wrong:",182,1264
"Such danger to resistance did belong,",182,1265
That dying fear through all her body spread;,182,1266
And who cannot abuse a body dead?,182,1267
"By this, mild patience bid fair Lucrece speak",183,1268
To the poor counterfeit of her complaining:,183,1269
"'My girl,' quoth she, 'on what occasion break",183,1270
"Those tears from thee, that down thy cheeks are",183,1271
raining?,183,1272
"If thou dost weep for grief of my sustaining,",183,1273
"Know, gentle wench, it small avails my mood:",183,1274
"If tears could help, mine own would do me good.",183,1275
"'But tell me, girl, when went'--and there she stay'd",184,1276
Till after a deep groan--'Tarquin from hence?',184,1277
"'Madam, ere I was up,' replied the maid,",184,1278
'The more to blame my sluggard negligence:,184,1279
Yet with the fault I thus far can dispense;,184,1280
"Myself was stirring ere the break of day,",184,1281
"And, ere I rose, was Tarquin gone away.",184,1282
"'But, lady, if your maid may be so bold,",185,1283
She would request to know your heaviness.',185,1284
"'O, peace!' quoth Lucrece: 'if it should be told,",185,1285
The repetition cannot make it less;,185,1286
For more it is than I can well express:,185,1287
And that deep torture may be call'd a hell,185,1288
When more is felt than one hath power to tell.,185,1289
"'Go, get me hither paper, ink, and pen:",186,1290
"Yet save that labour, for I have them here.",186,1291
What should I say? One of my husband's men,186,1292
"Bid thou be ready, by and by, to bear",186,1293
"A letter to my lord, my love, my dear;",186,1294
Bid him with speed prepare to carry it;,186,1295
"The cause craves haste, and it will soon be writ.'",186,1296
"Her maid is gone, and she prepares to write,",187,1297
First hovering o'er the paper with her quill:,187,1298
Conceit and grief an eager combat fight;,187,1299
What wit sets down is blotted straight with will;,187,1300
"This is too curious-good, this blunt and ill:",187,1301
"Much like a press of people at a door,",187,1302
"Throng her inventions, which shall go before.",187,1303
At last she thus begins: 'Thou worthy lord,188,1304
"Of that unworthy wife that greeteth thee,",188,1305
Health to thy person! next vouchsafe t' afford--,188,1306
"If ever, love, thy Lucrece thou wilt see--",188,1307
Some present speed to come and visit me.,188,1308
